Node(Unlabel),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N1746,104231.5,69246.75,70,31,113736,84460,0,0
N2282,125669.5,460664.5,77,198,127671,296580,0,0
N1632,104231.5,69246.75,70,31,113736,84460,0,0
N538,104231.5,69246.75,70,31,113736,84460,0,0
N1105,104231.5,69246.75,70,31,113736,84460,0,0
N1833,32052.0,439063.5,13,198,29939,253242,0,0
N1587,125669.5,460664.5,77,198,127671,296580,0,0
N2243,125669.5,460664.5,77,198,127671,296580,0,0
N268,104231.5,69246.75,70,31,113736,84460,0,0
N672,32052.0,439063.5,13,198,29939,253242,0,0
N1629,32052.0,439063.5,13,198,29939,253242,0,0
N2131,32052.0,439063.5,13,198,29939,253242,0,0
N497,104231.5,69246.75,70,31,113736,84460,0,0
N1811,104231.5,69246.75,70,31,113736,84460,0,0
N1335,125669.5,460664.5,77,198,127671,296580,0,0
N1297,104231.5,69246.75,70,31,113736,84460,0,0
N1770,125669.5,460664.5,77,198,127671,296580,0,0
N2266,104231.5,69246.75,70,31,113736,84460,0,0
N2396,125669.5,460664.5,77,198,127671,296580,0,0
N1071,104231.5,69246.75,70,31,113736,84460,0,0
N1361,32052.0,439063.5,13,198,29939,253242,0,0
N1856,125669.5,460664.5,77,198,127671,296580,0,0
N2268,32052.0,439063.5,13,198,29939,253242,0,0
N190,104231.5,69246.75,70,31,113736,84460,0,0
N448,104231.5,69246.75,70,31,113736,84460,0,0
N2459,104231.5,69246.75,70,31,113736,84460,0,0
N2265,125669.5,460664.5,77,198,127671,296580,0,0
N2603,104231.5,69246.75,70,31,113736,84460,0,0
N2788,104231.5,69246.75,70,31,113736,84460,0,0
N1179,104231.5,69246.75,70,31,113736,84460,0,0
N1844,32052.0,439063.5,13,198,29939,253242,0,0
N1973,104231.5,69246.75,70,31,113736,84460,0,0
N218,104231.5,69246.75,70,31,113736,84460,0,0
N2651,104231.5,69246.75,70,31,113736,84460,0,0
N2330,104231.5,69246.75,70,31,113736,84460,0,0
N1457,104231.5,69246.75,70,31,113736,84460,0,0
N2659,104231.5,69246.75,70,31,113736,84460,0,0
N1774,125669.5,460664.5,77,198,127671,296580,0,0
N894,104231.5,69246.75,70,31,113736,84460,0,0
N376,125669.5,460664.5,77,198,127671,296580,0,0
N2495,32052.0,439063.5,13,198,29939,253242,0,0
N1285,104231.5,69246.75,70,31,113736,84460,0,0
N1091,104231.5,69246.75,70,31,113736,84460,0,0
N1551,104231.5,69246.75,70,31,113736,84460,0,0
N117,32052.0,439063.5,13,198,29939,253242,0,0
N1601,32052.0,439063.5,13,198,29939,253242,0,0
N1574,104231.5,69246.75,70,31,113736,84460,0,0
N2674,32052.0,439063.5,13,198,29939,253242,0,0
N2752,32052.0,439063.5,13,198,29939,253242,0,0
N1644,104231.5,69246.75,70,31,113736,84460,0,0
N1899,104231.5,69246.75,70,31,113736,84460,0,0
N1008,104231.5,69246.75,70,31,113736,84460,0,0
N475,104231.5,69246.75,70,31,113736,84460,0,0
