Node(Gold),Score,#1st neighbors,#2nd neighbors,#3rd neighbors
N71,1662122.125,631,2177800,0
N1568,1683817.625,713,2475527,0
N848,2749439.625,1047,3618011,0
N1560,1683794.625,713,2475527,0
N1565,1683817.625,713,2475527,0
N1564,1662099.125,631,2177800,0
N1341,1662122.125,631,2177800,0
N1347,767495.625,202,1042858,0
N1066,1683794.625,713,2475527,0
N759,1482007.625,413,1846169,0
N207,1662099.125,631,2177800,0
N1743,2149841.25,865,2996282,0
N617,1662122.125,631,2177800,0
N1749,1683794.625,713,2475527,0
N1668,1482025.875,413,1846169,0
N1980,2128113.125,783,2698555,0
N1664,1503721.375,495,2143896,0
N2311,1683817.625,713,2475527,0
N1660,1683817.625,713,2475527,0
N1663,947682.625,420,1374707,0
N1110,1662116.125,631,2177800,0
N546,1683817.625,713,2475527,0
N545,1683817.625,713,2475527,0
N980,1683817.625,713,2475527,0
N2496,1503721.375,495,2143896,0
N1645,1482007.625,413,1846169,0
N2392,2128141.0,783,2698555,0
N2167,1683794.625,713,2475527,0
N1185,2149836.5,865,2996282,0
N1186,1503721.375,495,2143896,0
N2246,1683817.625,713,2475527,0
