Node(Gold),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N1840,0,236729.625,0,139,0,246727,0,0
N78,0,19651.25,0,138,0,19659,0,0
N339,0,20730.75,0,138,0,21606,0,0
N788,0,207408.375,0,118,0,223935,0,0
N2245,0,202769.75,0,120,0,207530,0,0
N1141,0,234182.625,0,133,0,248384,0,0
N2087,0,111404.5,0,72,0,128869,0,0
N1839,0,236806.125,0,139,0,246824,0,0
N1982,0,25691.5,0,139,0,30156,0,0
N3368,0,29396.75,0,143,0,35832,0,0
N763,0,21864.0,0,139,0,23602,0,0
N792,0,207776.125,0,118,0,224122,0,0
N134,0,19847.5,0,138,0,20022,0,0
N3051,0,28818.5,0,143,0,35028,0,0
N3347,0,94867.375,0,52,0,104754,0,0
N291,0,149167.0,0,87,0,162781,0,0
N1929,0,25467.75,0,139,0,29797,0,0
N1157,0,234971.375,0,134,0,249186,0,0
N2019,0,224294.375,0,131,0,232236,0,0
N2804,0,28182.25,0,141,0,34089,0,0
N1863,0,235586.125,0,137,0,245334,0,0
N300,0,90300.375,0,102,0,105862,0,0
N28,0,19541.75,0,138,0,19476,0,0
N1632,0,24657.0,0,139,0,28412,0,0
N2807,0,28282.5,0,142,0,34244,0,0
N3309,0,29357.25,0,143,0,35776,0,0
N449,0,168478.125,0,97,0,184096,0,0
N652,0,21684.0,0,139,0,23279,0,0
N280,0,20348.75,0,138,0,20912,0,0
N27,0,19441.0,0,138,0,19292,0,0
N2834,0,28337.25,0,142,0,34321,0,0
N3416,0,99567.0,0,60,0,98896,0,0
N2431,0,27161.25,0,140,0,32517,0,0
N1785,0,25034.25,0,139,0,29053,0,0
N2614,0,174279.25,0,101,0,177065,0,0
N2357,0,26725.25,0,139,0,31819,0,0
N2076,0,26126.25,0,139,0,30849,0,0
N1287,0,242932.75,0,140,0,257113,0,0
N2442,0,188480.75,0,111,0,192245,0,0
N2293,0,26454.0,0,139,0,31397,0,0
N626,0,190163.625,0,110,0,207551,0,0
N360,0,156458.5,0,91,0,170782,0,0
N1994,0,25767.5,0,139,0,30274,0,0
N1596,0,248252.125,0,148,0,261055,0,0
N3089,0,130351.75,0,73,0,130543,0,0
N1200,0,106567.0,0,67,0,128197,0,0
N572,0,21391.5,0,139,0,22787,0,0
N1552,0,250139.375,0,149,0,263475,0,0
N2618,0,27570.5,0,140,0,33164,0,0
N3099,0,29104.5,0,143,0,35419,0,0
N2250,0,26389.25,0,139,0,31289,0,0
N1320,0,23709.75,0,139,0,26776,0,0
N1794,0,25180.25,0,139,0,29304,0,0
N2229,0,204297.25,0,121,0,209240,0,0
N2537,0,27280.5,0,140,0,32707,0,0
N1177,0,106014.75,0,65,0,127544,0,0
N171,0,134395.25,0,78,0,146649,0,0
N30,0,113189.75,0,69,0,120129,0,0
N3083,0,29012.75,0,143,0,35292,0,0
N2555,0,27335.0,0,140,0,32800,0,0
N51,0,93150.125,0,169,0,106634,0,0
N839,0,22233.25,0,139,0,24236,0,0
N714,0,201285.875,0,116,0,219373,0,0
N352,0,20831.25,0,138,0,21777,0,0
N3016,0,28774.5,0,142,0,34963,0,0
N811,0,209162.875,0,120,0,224881,0,0
N1588,0,24499.75,0,139,0,28148,0,0
N2134,0,110989.625,0,72,0,128032,0,0
N1219,0,23204.0,0,139,0,25909,0,0
N275,0,20252.0,0,138,0,20736,0,0
N1608,0,115685.75,0,77,0,139158,0,0
N603,0,21489.5,0,139,0,22952,0,0
N120,0,126948.5,0,75,0,137672,0,0
N1517,0,24341.0,0,139,0,27880,0,0
N1163,0,105777.75,0,65,0,127254,0,0
N2191,0,110696.875,0,73,0,127512,0,0
N1551,0,114555.5,0,76,0,137766,0,0
N675,0,196565.625,0,111,0,214383,0,0
N1663,0,24731.75,0,139,0,28542,0,0
N2617,0,27514.75,0,140,0,33074,0,0
N784,0,21953.25,0,139,0,23762,0,0
N1153,0,23115.0,0,139,0,25761,0,0
N1263,0,241938.5,0,138,0,256084,0,0
N89,0,121971.75,0,74,0,131480,0,0
N1204,0,238162.875,0,136,0,252359,0,0
N1148,0,22850.75,0,139,0,25311,0,0
N1965,0,25615.0,0,139,0,30037,0,0
